CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH,TRANSACTION_PENETRATION_BEFORE,TRANSACTION_PENETRATION_AFTER,TRANSACTION_PENETRATION_GROWTH,BUYER_PROMO_BEFORE,BUYER_PROMO_AFTER,BUYER_NON_PROMO_BEFORE,BUYER_NON_PROMO_AFTER,PROMO_SHARE_BEFORE,PROMO_SHARE_AFTER,NON_PROMO_SHARE_BEFORE,NON_PROMO_SHARE_AFTER
2115 - FOLLOW ON MILK PREMIUM,MILK & DIAPERS,1.21,1.24,0.0248,118.0,103.67,-0.1214,2.11,2.29,0.0853,109361.0,118838.0,0.0867,230752.0,272139.0,0.1794,112.0,136.0,0.2143,0.0205,0.0188,-0.0829,0.0,0.0,112.0,136.0,0.0,0.0,1.0,1.0
2116 - FOLLOW ON MILK SUPER PREMIUM,MILK & DIAPERS,1.16,1.07,-0.0776,44.5,64.0,0.4382,2.22,3.31,0.491,200492.0,198612.0,-0.0094,445092.0,657406.0,0.477,40.0,58.0,0.45,0.0077,0.0116,0.5065,0.0,0.0,40.0,58.0,0.0,0.0,1.0,1.0
2117 - GROWING UP MILK MAINSTREAM,MILK & DIAPERS,1.25,1.34,0.072,1618.5,1551.67,-0.0413,2.4,2.88,0.2,80532.0,87331.0,0.0844,193277.0,251513.0,0.3013,1350.0,1616.0,0.197,0.2809,0.2819,0.0036,980.0,1268.0,731.0,800.0,0.5728,0.6132,0.4272,0.3868
2118 - GROWING UP MILK PREMIUM,MILK & DIAPERS,1.19,1.18,-0.0084,698.5,643.67,-0.0785,2.4,3.06,0.275,147270.0,142597.0,-0.0317,353448.0,436347.0,0.2345,581.0,631.0,0.0861,0.1212,0.1169,-0.0355,478.0,481.0,213.0,310.0,0.6918,0.6081,0.3082,0.3919
2119 - GROWING UP MILK SUPER PREMIUM,MILK & DIAPERS,1.19,1.18,-0.0084,193.5,215.0,0.1111,2.16,2.69,0.2454,246795.0,255644.0,0.0359,533077.0,687682.0,0.29,179.0,240.0,0.3408,0.0336,0.0391,0.1637,170.0,215.0,20.0,70.0,0.8947,0.7544,0.1053,0.2456
2121 - BABY CEREAL,MILK & DIAPERS,1.58,1.59,0.0063,235.0,240.67,0.0241,1.64,1.82,0.1098,23732.0,24097.0,0.0154,38920.0,43857.0,0.1268,287.0,397.0,0.3833,0.0408,0.0437,0.0711,222.0,282.0,128.0,218.0,0.6343,0.564,0.3657,0.436
2122 - BABY BISCUIT & SNACK,MILK & DIAPERS,2.01,1.97,-0.0199,841.0,767.0,-0.088,1.7,1.89,0.1118,20985.0,21139.0,0.0073,35674.0,39953.0,0.1199,992.0,1218.0,0.2278,0.146,0.1394,-0.0452,642.0,753.0,729.0,902.0,0.4683,0.455,0.5317,0.545
2131 - PREGNANT MILK,MILK & DIAPERS,1.08,1.04,-0.037,53.5,54.0,0.0093,1.34,1.4,0.0448,71354.0,68862.0,-0.0349,95614.0,96407.0,0.0083,80.0,116.0,0.45,0.0093,0.0098,0.0538,54.0,72.0,35.0,65.0,0.6067,0.5255,0.3933,0.4745
3431 - REGULAR DIAPERS,MILK & DIAPERS,1.15,1.13,-0.0174,104.0,109.67,0.0545,1.49,1.67,0.1208,65848.0,66264.0,0.0063,98114.0,110661.0,0.1279,140.0,197.0,0.4071,0.018,0.0199,0.1056,140.0,196.0,0.0,1.0,1.0,0.9949,0.0,0.0051
3432 - PANTS DIAPERS,MILK & DIAPERS,1.21,1.21,0.0,1907.5,1777.67,-0.0681,2.2,2.61,0.1864,75793.0,76114.0,0.0042,166745.0,198658.0,0.1914,1737.0,2047.0,0.1785,0.331,0.323,-0.0242,1647.0,1938.0,145.0,179.0,0.9191,0.9154,0.0809,0.0846
3211 - SHAMPOO,PERSONAL CARE,1.2,1.23,0.025,2497.5,2326.0,-0.0687,1.26,1.42,0.127,41560.0,47333.0,0.1389,52366.0,67213.0,0.2835,3949.0,4930.0,0.2484,0.2082,0.1949,-0.0639,3659.0,4553.0,419.0,672.0,0.8973,0.8714,0.1027,0.1286
