BRAND,SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
REGAL,2224B - MARIE BISCUIT 100-190G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.07,1.09,0.0187,341.0,298.0,-0.1261,14621.0,14857.0,0.0161,612.0,756.0,0.2353
ROMA,2224B - MARIE BISCUIT 100-190G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.17,1.18,0.0085,355.5,456.0,0.2827,12049.0,12143.0,0.0078,617.0,1138.0,0.8444
REGAL,2224C - MARIE BISCUIT 200-250G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.15,1.15,0.0,204.0,159.33,-0.219,30523.0,31031.0,0.0166,354.0,388.0,0.096
ROMA,2224C - MARIE BISCUIT 200-250G,2224 - MARIE BISCUIT,BISC & CONFECTIONARY,1.14,1.1,-0.0351,40.5,65.67,0.6215,27506.0,26584.0,-0.0335,73.0,173.0,1.3699
KARTIKA TOAST,2225A - PIE BISCUIT 32-110G,2225 - PIE BISCUIT,BISC & CONFECTIONARY,1.02,1.1,0.0784,20.5,32.67,0.5937,15366.0,16540.0,0.0764,39.0,92.0,1.359
MONDE,2225A - PIE BISCUIT 32-110G,2225 - PIE BISCUIT,BISC & CONFECTIONARY,1.07,1.1,0.028,81.0,80.0,-0.0123,14062.0,14935.0,0.0621,146.0,212.0,0.4521
MONDE,2225B - PIE BISCUIT 150-200G,2225 - PIE BISCUIT,BISC & CONFECTIONARY,1.04,1.07,0.0288,82.5,90.67,0.099,12148.0,12850.0,0.0578,153.0,248.0,0.6209
NYAM-NYAM,2226A - SANDWICH BISCUIT 10-49G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.19,1.18,-0.0084,104.0,119.33,0.1474,10238.0,10476.0,0.0232,184.0,312.0,0.6957
BISKIES,2226B - SANDWICH BISCUIT 50-99G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.26,1.17,-0.0714,568.0,369.67,-0.3492,11081.0,10001.0,-0.0975,981.0,937.0,-0.0449
DILAN,2226B - SANDWICH BISCUIT 50-99G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.18,1.16,-0.0169,38.5,68.67,0.7836,9539.0,9379.0,-0.0168,69.0,171.0,1.4783
JGT,2226B - SANDWICH BISCUIT 50-99G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.25,1.25,0.0,2.0,1.33,-0.335,19400.0,20000.0,0.0309,4.0,4.0,0.0
MUNCHY'S,2226B - SANDWICH BISCUIT 50-99G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.2,1.3,0.0833,158.0,151.33,-0.0422,11897.0,12926.0,0.0865,278.0,395.0,0.4209
OREO,2226B - SANDWICH BISCUIT 50-99G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.25,1.24,-0.008,253.5,289.67,0.1427,12241.0,12229.0,-0.001,448.0,730.0,0.6295
BETTER,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.09,1.08,-0.0092,350.5,380.0,0.0842,13148.0,13140.0,-0.0006,599.0,939.0,0.5676
BISKIES,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.19,1.11,-0.0672,71.0,62.33,-0.1221,11803.0,11083.0,-0.061,128.0,169.0,0.3203
BISKUAT,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.22,1.2,-0.0164,128.5,338.67,1.6356,8322.0,8061.0,-0.0314,233.0,828.0,2.5536
IMPERIAL,2226C - SANDWICH BISCUIT 100-150G,2226 - SANDWICH BISCUIT,BISC & CONFECTIONARY,1.09,1.32,0.211,63.0,119.33,0.8941,9727.0,11800.0,0.2131,109.0,304.0,1.789
