SUBCATEGORY,CATEGORY,SECTION,AVG_QTY_STRUK_MONTH_BEFORE,AVG_QTY_STRUK_MONTH_AFTER,AVG_QTY_STRUK_MONTH_GROWTH,AVG_STRUK_MONTH_BEFORE,AVG_STRUK_MONTH_AFTER,AVG_STRUK_MONTH_GROWTH,PURCHASE_FREQUENCY_BEFORE,PURCHASE_FREQUENCY_AFTER,PURCHASE_FREQUENCY_GROWTH,SPT_BEFORE,SPT_AFTER,SPT_GROWTH,SPB_BEFORE,SPB_AFTER,SPB_GROWTH,BUYER_COUNT_BEFORE,BUYER_COUNT_AFTER,BUYER_COUNT_GROWTH
1911A - INSTANT FRIED NOODLE 65-100G,1911 - INSTANT NOODLE BAG,NOODLE,3.23,3.29,0.0186,1594.0,1510.0,-0.0527,1.44,1.51,0.0486,10752.0,10872.0,0.0112,15483.0,16417.0,0.0603,2209.0,2995.0,0.3558
1911B - INSTANT BOILED NOODLE 50-99G,1911 - INSTANT NOODLE BAG,NOODLE,3.67,3.69,0.0054,1397.5,1489.33,0.0657,1.4,1.54,0.1,11831.0,11898.0,0.0057,16563.0,18323.0,0.1063,1998.0,2903.0,0.453
1911C - INSTANT BOILED NOODLE 100-190G,1911 - INSTANT NOODLE BAG,NOODLE,,1.0,,,0.33,,,1.0,,,13000.0,,,13000.0,,,1.0,
1911D - PREMIUM INSTANT BOILED NOODLE,1911 - INSTANT NOODLE BAG,NOODLE,1.51,1.55,0.0265,213.5,178.67,-0.1631,1.21,1.2,-0.0083,12726.0,13082.0,0.028,15398.0,15698.0,0.0195,353.0,445.0,0.2606
1911E - INSTANT NOODLE BANDED,1911 - INSTANT NOODLE BAG,NOODLE,1.31,1.34,0.0229,369.0,507.0,0.374,1.31,1.45,0.1069,20956.0,21275.0,0.0152,27452.0,30849.0,0.1237,563.0,1046.0,0.8579
1911F - INSTANT FRIED NOODLE >100G,1911 - INSTANT NOODLE BAG,NOODLE,2.69,2.94,0.0929,454.5,504.0,0.1089,1.29,1.39,0.0775,11585.0,12691.0,0.0955,14945.0,17640.0,0.1803,707.0,1090.0,0.5417
1911G - PREMIUM INSTANT FRIED NOODLE,1911 - INSTANT NOODLE BAG,NOODLE,1.43,1.53,0.0699,259.0,253.67,-0.0206,1.19,1.22,0.0252,17697.0,17203.0,-0.0279,21059.0,20988.0,-0.0034,434.0,624.0,0.4378
1912A - INSTANT FRIED NOODLE CUP,1912 - INSTANT NOODLE CUP,NOODLE,1.63,1.61,-0.0123,152.5,117.0,-0.2328,1.2,1.18,-0.0167,10104.0,9553.0,-0.0545,12125.0,11273.0,-0.0703,254.0,298.0,0.1732
1912B - INSTANT BOILED NOODLE CUP 35-75G,1912 - INSTANT NOODLE CUP,NOODLE,2.0,1.93,-0.035,342.5,324.33,-0.0531,1.25,1.31,0.048,11910.0,11340.0,-0.0479,14888.0,14855.0,-0.0022,550.0,743.0,0.3509
1912C - INSTANT BOILED NOODLE CUP 77-100G,1912 - INSTANT NOODLE CUP,NOODLE,1.56,1.65,0.0577,86.0,86.67,0.0078,1.14,1.18,0.0351,8610.0,9098.0,0.0567,9815.0,10736.0,0.0938,151.0,220.0,0.457
1912D - PREMIUM INSTANT NOODLE CUP,1912 - INSTANT NOODLE CUP,NOODLE,1.29,1.27,-0.0155,20.5,17.0,-0.1707,1.14,1.04,-0.0877,18678.0,16804.0,-0.1003,21293.0,17476.0,-0.1793,36.0,49.0,0.3611
1913A - INSTANT RICE NOODLE,1913 - INSTANT RICE NOODLE,NOODLE,2.33,2.56,0.0987,131.5,126.0,-0.0418,1.31,1.3,-0.0076,9913.0,10859.0,0.0954,12986.0,14117.0,0.0871,201.0,290.0,0.4428
1914A - EGG NOODLE,1914 - PREPARED NOODLE,NOODLE,1.52,1.54,0.0132,61.0,56.67,-0.071,1.13,1.27,0.1239,9271.0,9252.0,-0.002,10476.0,11750.0,0.1216,108.0,134.0,0.2407
1914B - RICE NOODLE,1914 - PREPARED NOODLE,NOODLE,1.12,1.13,0.0089,17.0,20.67,0.2159,1.13,1.13,0.0,13294.0,13313.0,0.0014,15022.0,15044.0,0.0015,30.0,55.0,0.8333
